id,state_code,city_code,city,state
1,11,1100015,((Alta Floresta D'Oeste)),((Rondônia))
2,11,1100379,((Alto Alegre dos Parecis)),((Rondônia))
3,11,1100403,((Alto Paraíso)),((Rondônia))
4,11,1100346,((Alvorada D'Oeste)),((Rondônia))
5,11,1100023,((Ariquemes)),((Rondônia))
6,11,1100452,((Buritis)),((Rondônia))
7,11,1100031,((Cabixi)),((Rondônia))
8,11,1100601,((Cacaulândia)),((Rondônia))
9,11,1100049,((Cacoal)),((Rondônia))
10,11,1100700,((Campo Novo de Rondônia)),((Rondônia))
11,11,1100809,((Candeias do Jamari)),((Rondônia))
12,11,1100908,((Castanheiras)),((Rondônia))
13,11,1100056,((Cerejeiras)),((Rondônia))
14,11,1100924,((Chupinguaia)),((Rondônia))
15,11,1100064,((Colorado do Oeste)),((Rondônia))
16,11,1100072,((Corumbiara)),((Rondônia))
17,11,1100080,((Costa Marques)),((Rondônia))
18,11,1100940,((Cujubim)),((Rondônia))
19,11,1100098,((Espigão D'Oeste)),((Rondônia))
20,11,1101005,((Governador Jorge Teixeira)),((Rondônia))
21,11,1100106,((Guajará-Mirim)),((Rondônia))
22,11,1101104,((Itapuã do Oeste)),((Rondônia))
23,11,1100114,((Jaru)),((Rondônia))
24,11,1100122,((Ji-Paraná)),((Rondônia))
25,11,1100130,((Machadinho D'Oeste)),((Rondônia))
26,11,1101203,((Ministro Andreazza)),((Rondônia))
27,11,1101302,((Mirante da Serra)),((Rondônia))
28,11,1101401,((Monte Negro)),((Rondônia))
29,11,1100148,((Nova Brasilândia D'Oeste)),((Rondônia))
30,11,1100338,((Nova Mamoré)),((Rondônia))
31,11,1101435,((Nova União)),((Rondônia))
32,11,1100502,((Novo Horizonte do Oeste)),((Rondônia))
33,11,1100155,((Ouro Preto do Oeste)),((Rondônia))
34,11,1101450,((Parecis)),((Rondônia))
35,11,1100189,((Pimenta Bueno)),((Rondônia))
36,11,1101468,((Pimenteiras do Oeste)),((Rondônia))
37,11,1100205,((Porto Velho)),((Rondônia))
38,11,1100254,((Presidente Médici)),((Rondônia))
39,11,1101476,((Primavera de Rondônia)),((Rondônia))
40,11,1100262,((Rio Crespo)),((Rondônia))
41,11,1100288,((Rolim de Moura)),((Rondônia))
42,11,1100296,((Santa Luzia D'Oeste)),((Rondônia))
43,11,1101484,((São Felipe D'Oeste)),((Rondônia))
44,11,1101492,((São Francisco do Guaporé)),((Rondônia))
45,11,1100320,((São Miguel do Guaporé)),((Rondônia))
46,11,1101500,((Seringueiras)),((Rondônia))
47,11,1101559,((Teixeirópolis)),((Rondônia))
48,11,1101609,((Theobroma)),((Rondônia))
49,11,1101708,((Urupá)),((Rondônia))
50,11,1101757,((Vale do Anari)),((Rondônia))
51,11,1101807,((Vale do Paraíso)),((Rondônia))
52,11,1100304,((Vilhena)),((Rondônia))
53,12,1200013,((Acrelândia)),((Acre))
54,12,1200054,((Assis Brasil)),((Acre))
55,12,1200104,((Brasiléia)),((Acre))
56,12,1200138,((Bujari)),((Acre))
57,12,1200179,((Capixaba)),((Acre))
58,12,1200203,((Cruzeiro do Sul)),((Acre))
59,12,1200252,((Epitaciolândia)),((Acre))
60,12,1200302,((Feijó)),((Acre))
61,12,1200328,((Jordão)),((Acre))
62,12,1200336,((Mâncio Lima)),((Acre))
63,12,1200344,((Manoel Urbano)),((Acre))
64,12,1200351,((Marechal Thaumaturgo)),((Acre))
65,12,1200385,((Plácido de Castro)),((Acre))
66,12,1200807,((Porto Acre)),((Acre))
67,12,1200393,((Porto Walter)),((Acre))
68,12,1200401,((Rio Branco)),((Acre))
69,12,1200427,((Rodrigues Alves)),((Acre))
70,12,1200435,((Santa Rosa do Purus)),((Acre))
71,12,1200500,((Sena Madureira)),((Acre))
72,12,1200450,((Senador Guiomard)),((Acre))
73,12,1200609,((Tarauacá)),((Acre))
74,12,1200708,((Xapuri)),((Acre))
75,13,1300029,((Alvarães)),((Amazonas))
76,13,1300060,((Amaturá)),((Amazonas))
77,13,1300086,((Anamã)),((Amazonas))
78,13,1300102,((Anori)),((Amazonas))
79,13,1300144,((Apuí)),((Amazonas))
80,13,1300201,((Atalaia do Norte)),((Amazonas))
81,13,1300300,((Autazes)),((Amazonas))
82,13,1300409,((Barcelos)),((Amazonas))
83,13,1300508,((Barreirinha)),((Amazonas))
84,13,1300607,((Benjamin Constant)),((Amazonas))
85,13,1300631,((Beruri)),((Amazonas))
86,13,1300680,((Boa Vista do Ramos)),((Amazonas))
87,13,1300706,((Boca do Acre)),((Amazonas))
88,13,1300805,((Borba)),((Amazonas))
89,13,1300839,((Caapiranga)),((Amazonas))
90,13,1300904,((Canutama)),((Amazonas))
91,13,1301001,((Carauari)),((Amazonas))
92,13,1301100,((Careiro)),((Amazonas))
93,13,1301159,((Careiro da Várzea)),((Amazonas))
94,13,1301209,((Coari)),((Amazonas))
95,13,1301308,((Codajás)),((Amazonas))
96,13,1301407,((Eirunepé)),((Amazonas))
97,13,1301506,((Envira)),((Amazonas))
98,13,1301605,((Fonte Boa)),((Amazonas))
99,13,1301654,((Guajará)),((Amazonas))
100,13,1301704,((Humaitá)),((Amazonas))
101,13,1301803,((Ipixuna)),((Amazonas))
102,13,1301852,((Iranduba)),((Amazonas))
103,13,1301902,((Itacoatiara)),((Amazonas))
104,13,1301951,((Itamarati)),((Amazonas))
105,13,1302009,((Itapiranga)),((Amazonas))
106,13,1302108,((Japurá)),((Amazonas))
107,13,1302207,((Juruá)),((Amazonas))
108,13,1302306,((Jutaí)),((Amazonas))
109,13,1302405,((Lábrea)),((Amazonas))
